datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-46-58,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-46-58,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-46-59,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-46-59,com.camelgames.aoz.debuglz4,10797,1430.51,13.62,288.9,13.98
2024-09-21 18-47-00,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.99
2024-09-21 18-47-00,com.camelgames.aoz.debuglz4,10797,1430.51,13.62,288.9,13.98
2024-09-21 18-47-01,com.camelgames.aoz.debuglz4,10797,1430.51,13.62,288.9,13.98
2024-09-21 18-47-01,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-47-01,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-47-02,com.camelgames.aoz.debuglz4,10797,1430.49,13.62,288.9,13.99
2024-09-21 18-47-02,com.camelgames.aoz.debuglz4,10797,1430.49,13.62,288.9,13.98
2024-09-21 18-47-03,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-47-03,com.camelgames.aoz.debuglz4,10797,1430.49,13.62,288.9,13.98
2024-09-21 18-47-04,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-47-04,com.camelgames.aoz.debuglz4,10797,1431.02,13.62,289.42,13.98
2024-09-21 18-47-05,com.camelgames.aoz.debuglz4,10797,1431.7,13.62,290.11,13.98
2024-09-21 18-47-05,com.camelgames.aoz.debuglz4,10797,1432.38,13.62,290.79,13.98
2024-09-21 18-47-06,com.camelgames.aoz.debuglz4,10797,1432.95,13.62,291.35,13.98
2024-09-21 18-47-06,com.camelgames.aoz.debuglz4,10797,1433.58,13.62,291.92,13.98
2024-09-21 18-47-07,com.camelgames.aoz.debuglz4,10797,1434.15,13.62,292.56,13.98
2024-09-21 18-47-07,com.camelgames.aoz.debuglz4,10797,1434.71,13.62,293.12,13.99
2024-09-21 18-47-07,com.camelgames.aoz.debuglz4,10797,1435.31,13.62,293.73,13.98
2024-09-21 18-47-08,com.camelgames.aoz.debuglz4,10797,1435.88,13.62,294.29,13.98
2024-09-21 18-47-08,com.camelgames.aoz.debuglz4,10797,1436.41,13.62,294.81,13.98
2024-09-21 18-47-09,com.camelgames.aoz.debuglz4,10797,1437.06,13.62,295.46,13.98
2024-09-21 18-47-09,com.camelgames.aoz.debuglz4,10797,1437.61,13.62,296.02,13.98
2024-09-21 18-47-10,com.camelgames.aoz.debuglz4,10797,1438.33,13.62,296.74,13.98
2024-09-21 18-47-10,com.camelgames.aoz.debuglz4,10797,1438.97,13.62,297.37,13.98
2024-09-21 18-47-11,com.camelgames.aoz.debuglz4,10797,1439.69,13.62,298.09,13.98
2024-09-21 18-47-11,com.camelgames.aoz.debuglz4,10797,1440.27,13.62,298.68,13.98
2024-09-21 18-47-11,com.camelgames.aoz.debuglz4,10797,1440.95,13.62,299.36,13.98
2024-09-21 18-47-12,com.camelgames.aoz.debuglz4,10797,1442.05,13.62,300.46,13.98
2024-09-21 18-47-12,com.camelgames.aoz.debuglz4,10797,1441.48,13.62,299.89,13.98
2024-09-21 18-47-13,com.camelgames.aoz.debuglz4,10797,1437.19,13.62,295.6,13.98
2024-09-21 18-47-13,com.camelgames.aoz.debuglz4,10797,1432.09,13.62,290.49,13.98
