09-21 16:48:36.442   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:48:36.444   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:48:36.445   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
09-21 16:48:36.447   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48831mC, Err -2831mC, SampleCnt 1
09-21 16:48:36.448   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48831mC, Err -4831mC, SampleCnt 1
09-21 16:48:38.450   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:38.452   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:48:38.453   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:48:38.454   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:38.456   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:48:40.458   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:48:40.459   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:48:40.461   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
